Date;Portfolio_value;Portfolio_return
45447;104,96701;-0,004070552
45448;105,21301;0,002343593
45449;105,38124;0,001598947
45450;104,90314;-0,004536861
45453;105,13466;0,002206988
45454;105,31617;0,001726453
45455;104,60046;-0,006795823
45456;104,77599;0,0016781
45457;105,40211;0,005975797
45460;105,1367;-0,002518071
45461;105,38083;0,002322025
45462;105,36991;-0,000103624
45463;105,51575;0,001384076
45464;105,87327;0,003388309
45467;105,88898;0,000148385
45468;105,97186;0,000782707
45469;105,97387;1,89673E-05
45470;105,84895;-0,001178781
45471;105,94606;0,000917439
45474;105,29516;-0,006143692
45475;105,36042;0,000619782
45476;105,60211;0,002293935
45477;105,81768;0,002041342
45478;105,96768;0,001417532
45481;105,88553;-0,000775236
45482;106,01553;0,001227741
45483;106,39553;0,003584381
45484;106,69947;0,002856699
45485;106,8859;0,001747244
45488;106,56353;-0,00301602
45489;106,84968;0,002685253
45490;106,61;-0,002243151
45491;106,20119;-0,003834631
45492;105,91813;-0,002665319
45495;105,91621;-1,81272E-05
45496;106,0034;0,000823198
45497;105,76676;-0,002232381
45498;104,90674;-0,008131288
45499;105,25855;0,00335355
45502;105,64835;0,003703262
45503;105,50684;-0,001339444
45504;105,43013;-0,000727062
45505;106,39864;0,009186273
45506;105,70235;-0,006544163
45509;102,93488;-0,026181726
45510;103,19332;0,002510714
45511;103,96554;0,007483236
45512;104,33892;0,003591382
45513;105,1253;0,007536785
45516;105,47774;0,003352571
45517;105,73514;0,002440325
45518;105,63352;-0,000961081
45519;105,69101;0,00054424
45520;106,15183;0,004360068
45523;106,20479;0,000498908
45524;106,01905;-0,001748885
45525;105,62534;-0,003713578
45526;105,0752;-0,005208409
45527;105,40386;0,003127855
45530;105,53901;0,001282211
45531;105,20666;-0,003149073
45532;105,29084;0,000800139
45533;105,34944;0,000556554
45534;105,42078;0,000677175
45537;105,57482;0,001461192
45538;105,70781;0,001259675
45539;105,04955;-0,006227165
45540;104,66206;-0,00368864
45541;104,62738;-0,000331352
45544;105,0892;0,00441395
45545;105,43835;0,003322416
45546;105,48519;0,000444241
45547;106,01848;0,005055591
45548;106,1005;0,000773639
45551;105,86848;-0,002186795
45552;105,88381;0,000144802
45553;106,01472;0,001236355
45554;106,18384;0,00159525
45555;106,08199;-0,000959186
45558;106,31358;0,002183123
45559;106,53676;0,002099261
45560;106,29128;-0,002304181
45561;106,67081;0,00357066
45562;107,12007;0,004211649
45565;107,13227;0,000113891
45566;107,70243;0,005322019
45567;108,00692;0,002827141
45568;107,52997;-0,004415921
45569;107,50198;-0,0002603
45572;107,6497;0,001374114
45573;107,39158;-0,002397777
45574;107,45497;0,00059027
45575;107,59816;0,001332558
45576;107,84964;0,002337215
45579;108,18811;0,003138351
45580;108,40023;0,001960659
45581;108,60849;0,001921214
45582;108,42516;-0,00168799
45583;108,9082;0,004455055
45586;108,60775;-0,002758745
45587;108,59698;-9,91642E-05
45588;108,95055;0,0032558
45589;108,88164;-0,000632489
45590;108,60418;-0,002548272
45593;108,61793;0,000126607
45594;109,02448;0,003742936
45595;108,62288;-0,003683576
45596;107,48707;-0,010456453
45597;107,20656;-0,002609709
45600;106,89119;-0,002941704
45601;107,33801;0,004180139
45602;108,86102;0,014188916
45603;109,55759;0,006398709
45604;110,07208;0,004696069
45607;110,92037;0,007706677
45608;110,87884;-0,000374413
45609;110,64035;-0,002150906
45610;111,00371;0,003284154
45611;110,51399;-0,004411744
45614;110,93528;0,003812097
45615;110,97038;0,000316401
45616;111,17177;0,001814809
45617;111,56925;0,003575368
45618;112,52055;0,008526543
45621;112,39249;-0,001138103
45622;112,20536;-0,001664969
45623;111,97159;-0,002083412
45624;111,74041;-0,002064631
45625;111,65831;-0,000734739
45628;112,1145;0,004085589
45629;112,22969;0,001027432
45630;112,55371;0,002887115
45631;112,14589;-0,003623337
45632;112,11084;-0,000312539
45635;112,40617;0,002634268
45636;112,50046;0,000838833
45637;112,84982;0,00310541
45638;113,0526;0,001796901
45639;112,19093;-0,00762185
45642;112,969;0,006935231
45643;112,60628;-0,003210792
45644;111,77656;-0,007368328
45645;111,69989;-0,000685922
45646;112,15708;0,004093021
45649;112,21281;0,000496892
45650;112,05923;-0,001368649
45652;112,32389;0,002361787
45653;111,60541;-0,006396502
45656;111,20039;-0,003629036
45657;111,06857;-0,001185427
45659;111,79078;0,00650238
45660;112,62511;0,007463317
45663;111,44424;-0,010484962
45664;111,72357;0,002506455
45665;112,70698;0,008802171
45666;112,82663;0,001061602
45667;112,19799;-0,005571734
45670;112,75756;0,004987344
45671;112,50907;-0,002203755
45672;112,54201;0,000292776
45673;113,10204;0,004976186
45674;112,79274;-0,002734699
45677;112,63069;-0,001436706
45678;113,0482;0,003706894
45679;112,39091;-0,005814246
45680;112,77785;0,003442805
45681;112,91613;0,001226127
45684;112,25751;-0,005832825
45685;113,08407;0,007363071
45686;113,49693;0,003650912
45687;114,10141;0,005325959
45688;114,28901;0,001644151
45691;115,24393;0,008355309
45692;115,26619;0,000193156
45693;115,31056;0,000384935
45694;115,97665;0,005776487
45695;115,96612;-9,07941E-05
45698;116,6246;0,00567821
45699;116,39329;-0,001983372
45700;115,86314;-0,004554816
45701;116,18052;0,002739266
45702;116,05315;-0,001096311
45705;116,18639;0,001148095
45706;116,29562;0,000940127
45707;116,20549;-0,000775008
45708;116,40342;0,001703276
45709;116,21958;-0,001579335
45712;116,23436;0,000127173
45713;115,7244;-0,004387343
45714;115,99407;0,002330278
45715;116,05003;0,000482438
45716;116,29711;0,002129082
